"Country","Excess_per_million"
"Afghanistan","1082.76521459322"
"Angola","637.416621938171"
"Albania","4568.06972352629"
"Andorra","4692.80952112286"
"United Arab Emirates","246.781273608852"
"Argentina","1940.680020301"
"Armenia","7071.90938736271"
"Antigua & Barbuda","-318.912490653503"
"Australia","-548.135914908239"
"Austria","1320.35297922007"
"Azerbaijan","5621.15930511963"
"Burundi","724.417746044243"
"Belgium","1533.33018784716"
"Benin","887.709125981657"
"Burkina Faso","977.319569028942"
"Bangladesh","822.287151982461"
"Bulgaria","8893.00660276016"
"Bahrain","452.27345482754"
"Bahamas","2445.56223410397"
"Bosnia & Herzegovina","4860.34381317468"
"Belarus","5298.25022460608"
"Belize","1720.14879250592"
"Bolivia","7201.37685760577"
"Brazil","3164.0714501088"
"Barbados","-1263.62484585277"
"Brunei","-245.191720833805"
"Bhutan","-507.351873846386"
"Botswana","2818.17908496152"
"Central African Republic","1119.61104692316"
"Canada","565.612466197091"
"Switzerland","939.772629861487"
"Chile","1973.87872688732"
"China","-36.7742051003645"
"Côte d’Ivoire","37.1312227575361"
"Cameroon","1265.35870002196"
"Congo - Kinshasa","1189.34907809842"
"Congo - Brazzaville","758.609726851192"
"Colombia","3175.8534245855"
"Comoros","864.611612003207"
"Cape Verde","1562.22027981299"
"Costa Rica","1862.06219402257"
"Cuba","1619.64571320594"
"Cyprus","806.036315139898"
"Czechia","3470.59000924621"
"Germany","1461.03922214205"
"Djibouti","1576.77244848407"
"Dominica","206.960060748033"
"Denmark","629.551751767543"
"Dominican Republic","1057.38485687505"
"Algeria","1549.71178861717"
"Ecuador","4492.41865801503"
"Egypt","2262.37804206006"
"Eritrea","654.933677132992"
"Spain","2175.39966866466"
"Estonia","2501.72455434057"
"Ethiopia","838.838464269542"
"Finland","514.209018882317"
"Fiji","-125.754564844164"
"France","1204.18445380433"
"Gabon","670.59761659802"
"United Kingdom","2223.28882269706"
"Georgia","6589.7878565635"
"Ghana","624.536104900551"
"Guinea","904.059318434337"
"Gambia","1073.24014626713"
"Guinea-Bissau","1349.35453508731"
"Equatorial Guinea","1026.6157349746"
"Greece","1859.99252864838"
"Grenada","-2126.28933475709"
"Guatemala","2845.72045250596"
"Guyana","3476.06191740565"
"Honduras","2172.18339898487"
"Croatia","4454.84642344064"
"Haiti","829.414900372925"
"Hungary","3784.76886850835"
"Indonesia","3733.92286797125"
"India","3341.8218039632"
"Ireland","569.873958066163"
"Iran","2621.70387400502"
"Iraq","1499.78482167746"
"Iceland","-27.8341656268617"
"Israel","646.306625646439"
"Italy","2728.18828875192"
"Jamaica","1270.54453023486"
"Jordan","1056.97557238919"
"Japan","-155.6099136235"
"Kazakhstan","3884.1470865986"
"Kenya","228.604315910301"
"Kyrgyzstan","1765.32932587188"
"Cambodia","746.533147135339"
"Kiribati","-345.968344114851"
"St. Kitts & Nevis","-4347.69486851887"
"South Korea","121.794429428944"
"Kuwait","993.167174576045"
"Laos","16.54129630504"
"Lebanon","3373.5842217663"
"Liberia","762.495356414885"
"Libya","1153.99738502193"
"St. Lucia","2056.71796151798"
"Sri Lanka","-398.141490345049"
"Lesotho","1726.89554046976"
"Lithuania","6093.54034838048"
"Luxembourg","106.387174515219"
"Latvia","4080.193812286"
"Morocco","927.664630154181"
"Monaco","1751.15342742922"
"Moldova","7151.76417628576"
"Madagascar","863.921411545103"
"Maldives","469.299160341937"
"Mexico","4911.34339010591"
"Marshall Islands","-1909.89748759538"
"North Macedonia","7463.45788983867"
"Mali","1208.79128565194"
"Malta","897.4948038694"
"Myanmar (Burma)","815.592927745559"
"Montenegro","6334.61652378662"
"Mongolia","1.17940567883104"
"Mozambique","1296.07011122655"
"Mauritania","1466.96067545574"
"Mauritius","745.970232156624"
"Malawi","838.661033957816"
"Malaysia","221.961263711953"
"Namibia","3020.18469493716"
"Niger","1310.23535116684"
"Nigeria","853.081882605582"
"Nicaragua","1740.75153342567"
"Netherlands","1650.30097554656"
"Norway","-18.5372848614205"
"Nepal","1064.32582490264"
"Nauru","-115.130142760703"
"New Zealand","-522.46147674588"
"Oman","2512.84354234604"
"Pakistan","977.16701813443"
"Panama","1733.57294157966"
"Peru","8507.22626954577"
"Philippines","1603.10128858007"
"Palau","-2237.07258251042"
"Papua New Guinea","75.0451675598104"
"Poland","4278.19217202338"
"Portugal","1964.24710394491"
"Paraguay","2922.591652944"
"Qatar","571.067799707391"
"Romania","5613.04798446984"
"Russia","7434.47514291884"
"Rwanda","392.046804733953"
"Saudi Arabia","482.016449757947"
"Sudan","810.651263823225"
"Senegal","953.087057843981"
"Singapore","261.641565988553"
"Solomon Islands","-83.0132877249017"
"Sierra Leone","916.222877931812"
"El Salvador","2688.52864865373"
"San Marino","5066.02991720743"
"Somalia","2015.08731764469"
"Serbia","8349.2991872837"
"South Sudan","839.917897435827"
"São Tomé & Príncipe","839.545139394195"
"Suriname","1175.55700074436"
"Slovakia","4477.40538970032"
"Slovenia","2642.93399867114"
"Sweden","1281.46971901858"
"Eswatini","3179.11576951174"
"Seychelles","57.8497719334046"
"Syria","330.565085397632"
"Chad","1086.10860830726"
"Togo","-789.805230244511"
"Thailand","213.415746459377"
"Tajikistan","1307.04470914978"
"Timor-Leste","509.260779799274"
"Tonga","-343.543406757334"
"Trinidad & Tobago","1326.52018291767"
"Tunisia","1927.91043798336"
"Turkey","3105.96752648358"
"Tuvalu","-967.910618881554"
"Tanzania","611.16084928057"
"Uganda","434.258316254059"
"Ukraine","5216.48599219621"
"Uruguay","907.461523345213"
"United States","2797.75955257473"
"Uzbekistan","1259.14995381427"
"St. Vincent & Grenadines","4747.93812410905"
"Venezuela","788.836995153967"
"Vietnam","-63.4620165335228"
"Vanuatu","-233.727247271019"
"Samoa","-398.373084762294"
"Yemen","1002.84041431376"
"South Africa","3984.89774310359"
"Zambia","1176.6008615822"
"Zimbabwe","1141.60986205466"
"Taiwan","-188.679372776999"
